ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
WDAY,"Workday, Inc.",137.47,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),158.64,134.83,bullish,149.54,R 38.2%,143.93,R 61.8%,158.64,E 100.0%,165.12,E 127.2%,173.35,E 161.8%,1.62,2.78,4.24,158.64,E 100.0%,,139.93,153.02,149.54,146.74,143.93,139.93,158.64,165.12,167.74,173.35,182.45,197.16
ORLY,"O'Reilly Automotive, Inc.",90.46,,3,4,1,Moderately bullish,251,Daily,bear,Bearish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),91.32,85.35,bullish,89.04,R 38.2%,87.63,R 61.8%,91.32,E 100.0%,92.94,E 127.2%,95.0,E 161.8%,1.62,2.77,4.23,91.32,E 100.0%,89.91,91.32,89.91,89.04,88.33,87.63,86.63,91.32,92.94,93.59,95.0,97.28,100.97
CDNS,"Cadence Design Systems, Inc.",385.13,,3,4,1,Moderately bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),416.69,373.54,bullish,400.21,R 38.2%,390.02,R 61.8%,416.69,E 100.0%,428.43,E 127.2%,443.36,E 161.8%,1.62,2.77,4.23,416.69,E 100.0%,382.77,390.02,406.51,400.21,395.12,390.02,382.77,416.69,428.43,433.17,443.36,459.84,486.51
GEHC,GE HealthCare Technologies Inc.,63.76,,2,4,2,Moderately bullish,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),66.41,60.73,bullish,64.24,R 38.2%,62.9,R 61.8%,66.41,E 100.0%,67.95,E 127.2%,69.92,E 161.8%,1.62,2.77,4.24,66.41,E 100.0%,63.57,64.24,65.07,64.24,63.57,62.9,61.95,66.41,67.95,68.58,69.92,72.09,75.6
ODFL,"Old Dominion Freight Line, Inc.",235.95,,2,4,2,Moderately bullish,251,Daily,bear,Stale green (3-bar exhaustion),bull,Significantly above trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),252.03,217.85,bullish,238.97,R 38.2%,230.91,R 61.8%,252.03,E 100.0%,261.33,E 127.2%,273.15,E 161.8%,1.62,2.77,4.24,252.03,E 100.0%,234.94,238.97,243.96,238.97,234.94,230.91,225.17,252.03,261.33,265.09,273.15,286.21,307.33
SNPS,"Synopsys, Inc.",460.54,,2,4,2,Moderately bullish,251,Daily,bull,Inverted hammer,neutral,In line with trend,bear,Wide divergence below SMA,bull,1 open gap(s) below (support),bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),508.72,451.0,bullish,486.67,R 38.2%,473.05,R 61.8%,508.72,E 100.0%,524.42,E 127.2%,544.39,E 161.8%,1.62,2.77,4.24,508.72,E 100.0%,,463.35,495.1,486.67,479.86,473.05,463.35,508.72,524.42,530.77,544.39,566.44,602.11
MAR,"Marriott International, Inc.",386.23,,2,4,2,Moderately bullish,251,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),398.96,370.58,bullish,388.12,R 38.2%,381.42,R 61.8%,398.96,E 100.0%,406.68,E 127.2%,416.5,E 161.8%,1.62,2.77,4.24,398.96,E 100.0%,384.77,388.12,392.26,388.12,384.77,381.42,376.65,398.96,406.68,409.8,416.5,427.34,444.88
MNST,Monster Beverage Corporation,91.21,,2,4,2,Moderately bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),session (no premarket),91.47,87.23,bullish,89.85,R 38.2%,88.85,R 61.8%,91.47,E 100.0%,92.62,E 127.2%,94.09,E 161.8%,1.62,2.77,4.24,91.47,E 100.0%,90.47,91.47,90.47,89.85,89.35,88.85,88.14,91.47,92.62,93.09,94.09,95.71,98.33
AMGN,Amgen Inc.,337.73,,2,4,2,Moderately bullish,251,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),356.5,322.3,bullish,343.44,R 38.2%,335.36,R 61.8%,356.5,E 100.0%,365.8,E 127.2%,377.64,E 161.8%,1.62,2.77,4.23,356.5,E 100.0%,335.36,339.4,348.43,343.44,339.4,335.36,329.62,356.5,365.8,369.56,377.64,390.7,411.84
CTAS,Cintas Corporation,180.4,,2,4,2,Moderately bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Breakout above prior resistance,session (no premarket),182.73,168.34,bullish,177.23,R 38.2%,173.84,R 61.8%,182.73,E 100.0%,186.64,E 127.2%,191.62,E 161.8%,1.62,2.78,4.24,182.73,E 100.0%,179.33,182.73,179.33,177.23,175.53,173.84,171.42,182.73,186.64,188.23,191.62,197.12,206.01
ADBE,Adobe Inc.,233.38,,1,3,2,Neutral,251,Daily,bull,Inverted hammer,neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Break below prior support,session (no premarket),275.44,231.74,bullish,258.75,R 38.2%,248.43,R 61.8%,275.44,E 100.0%,287.33,E 127.2%,302.45,E 161.8%,1.62,2.77,4.23,275.44,E 100.0%,,241.09,265.13,258.75,253.59,248.43,241.09,275.44,287.33,292.13,302.45,319.14,346.15
FAST,Fastenal Company,46.03,,1,3,2,Neutral,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),47.78,43.26,bullish,46.05,R 38.2%,44.99,R 61.8%,47.78,E 100.0%,49.01,E 127.2%,50.57,E 161.8%,1.63,2.79,4.26,47.78,E 100.0%,45.52,46.05,46.71,46.05,45.52,44.99,44.23,47.78,49.01,49.51,50.57,52.3,55.09
MSFT,Microsoft Corporation,397.36,,1,3,2,Neutral,251,Daily,bear,Shooting star,neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bull,Bounce off prior support,session (no premarket),466.32,397.18,bullish,439.91,R 38.2%,423.59,R 61.8%,466.32,E 100.0%,485.13,E 127.2%,509.05,E 161.8%,1.62,2.77,4.24,466.32,E 100.0%,,411.98,450.0,439.91,431.75,423.59,411.98,466.32,485.13,492.73,509.05,535.46,578.19
QCOM,QUALCOMM Incorporated,191.2,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold · Wide divergence,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),254.15,190.1,bullish,229.68,R 38.2%,214.57,R 61.8%,254.15,E 100.0%,271.57,E 127.2%,293.74,E 161.8%,1.62,2.77,4.24,254.15,E 100.0%,,203.81,239.04,229.68,222.13,214.57,203.81,254.15,271.57,278.62,293.74,318.2,357.79
TRI,Thomson Reuters Corporation,81.96,,1,3,2,Neutral,251,Daily,bull,Bullish harami,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),94.1,79.65,bullish,88.58,R 38.2%,85.17,R 61.8%,94.1,E 100.0%,98.03,E 127.2%,103.03,E 161.8%,1.62,2.77,4.24,94.1,E 100.0%,,82.74,90.69,88.58,86.88,85.17,82.74,94.1,98.03,99.62,103.03,108.55,117.48
ROP,"Roper Technologies, Inc.",334.1,,1,3,2,Neutral,251,Daily,bear,Bearish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),347.08,326.9,bullish,339.37,R 38.2%,334.61,R 61.8%,347.08,E 100.0%,352.57,E 127.2%,359.55,E 161.8%,1.62,2.77,4.24,347.08,E 100.0%,331.22,334.61,342.32,339.37,336.99,334.61,331.22,347.08,352.57,354.79,359.55,367.26,379.73
CEG,Constellation Energy Corporation,242.3,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),278.61,240.51,bullish,264.06,R 38.2%,255.06,R 61.8%,278.61,E 100.0%,288.97,E 127.2%,302.16,E 161.8%,1.62,2.77,4.23,278.61,E 100.0%,,248.66,269.62,264.06,259.56,255.06,248.66,278.61,288.97,293.16,302.16,316.71,340.26
ZS,"Zscaler, Inc.",124.73,,1,3,2,Neutral,251,Daily,bull,Bullish harami,neutral,Significantly below trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bear,Bearish zone,bull,Bounce off prior support,session (no premarket),157.7,120.85,bullish,143.62,R 38.2%,134.93,R 61.8%,157.7,E 100.0%,167.72,E 127.2%,180.47,E 161.8%,1.62,2.77,4.24,157.7,E 100.0%,,128.74,149.0,143.62,139.28,134.93,128.74,157.7,167.72,171.78,180.47,194.55,217.32
NFLX,"Netflix, Inc.",82.0,,1,3,2,Neutral,251,Daily,bull,Bullish harami,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),87.23,80.98,bullish,84.84,R 38.2%,83.37,R 61.8%,87.23,E 100.0%,88.93,E 127.2%,91.09,E 161.8%,1.63,2.78,4.25,87.23,E 100.0%,,82.32,85.75,84.84,84.1,83.37,82.32,87.23,88.93,89.62,91.09,93.48,97.35
DXCM,"DexCom, Inc.",74.77,,1,3,2,Neutral,251,Daily,bear,Bearish engulfing,neutral,Significantly below trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),78.91,71.53,bullish,76.09,R 38.2%,74.35,R 61.8%,78.91,E 100.0%,80.92,E 127.2%,83.47,E 161.8%,1.62,2.78,4.24,78.91,E 100.0%,74.35,75.22,77.17,76.09,75.22,74.35,73.11,78.91,80.92,81.73,83.47,86.29,90.85
IDXX,"IDEXX Laboratories, Inc.",556.94,,1,3,2,Neutral,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),581.47,547.57,bullish,568.52,R 38.2%,560.52,R 61.8%,581.47,E 100.0%,590.69,E 127.2%,602.42,E 161.8%,1.62,2.77,4.24,581.47,E 100.0%,554.82,560.52,573.47,568.52,564.52,560.52,554.82,581.47,590.69,594.42,602.42,615.37,636.32
CSX,CSX Corporation,46.41,,1,3,2,Neutral,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),47.55,44.79,bullish,46.5,R 38.2%,45.84,R 61.8%,47.55,E 100.0%,48.3,E 127.2%,49.26,E 161.8%,1.59,2.73,4.18,47.55,E 100.0%,46.17,46.5,46.9,46.5,46.17,45.84,45.38,47.55,48.3,48.6,49.26,50.31,52.02
GOOG,Alphabet Inc.,353.32,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),374.37,352.81,bullish,366.14,R 38.2%,361.05,R 61.8%,374.37,E 100.0%,380.24,E 127.2%,387.7,E 161.8%,1.62,2.77,4.24,374.37,E 100.0%,,357.42,369.29,366.14,363.59,361.05,357.42,374.37,380.24,382.61,387.7,395.94,409.27
MRVL,"Marvell Technology, Inc.",252.59,,1,3,2,Neutral,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),324.2,195.12,bullish,274.89,R 38.2%,244.43,R 61.8%,324.2,E 100.0%,359.31,E 127.2%,403.97,E 161.8%,1.62,2.77,4.24,324.2,E 100.0%,244.43,259.66,293.74,274.89,259.66,244.43,222.74,324.2,359.31,373.51,403.97,453.28,533.05
VRSK,"Verisk Analytics, Inc.",183.13,,1,3,2,Neutral,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),session (no premarket),185.26,174.99,bullish,181.34,R 38.2%,178.92,R 61.8%,185.26,E 100.0%,188.06,E 127.2%,191.61,E 161.8%,1.62,2.78,4.24,185.26,E 100.0%,182.84,185.26,182.84,181.34,180.13,178.92,177.19,185.26,188.06,189.19,191.61,195.54,201.89
META,"Meta Platforms, Inc.",570.98,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),642.4,570.6,bullish,614.97,R 38.2%,598.03,R 61.8%,642.4,E 100.0%,661.93,E 127.2%,686.77,E 161.8%,1.62,2.77,4.24,642.4,E 100.0%,,585.97,625.46,614.97,606.5,598.03,585.97,642.4,661.93,669.83,686.77,714.2,758.57
MDLZ,"Mondelez International, Inc.",64.18,,1,3,2,Neutral,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Above SMA (acting as support),session (no premarket),64.35,59.95,bullish,62.67,R 38.2%,61.63,R 61.8%,64.35,E 100.0%,65.54,E 127.2%,67.06,E 161.8%,1.62,2.76,4.22,64.35,E 100.0%,63.31,64.35,63.31,62.67,62.15,61.63,60.89,64.35,65.54,66.02,67.06,68.74,71.46
GOOGL,Alphabet Inc.,356.38,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),378.33,355.23,bullish,369.51,R 38.2%,364.06,R 61.8%,378.33,E 100.0%,384.62,E 127.2%,392.61,E 161.8%,1.62,2.77,4.24,378.33,E 100.0%,,360.17,372.88,369.51,366.78,364.06,360.17,378.33,384.62,387.16,392.61,401.44,415.72
ADSK,"Autodesk, Inc.",221.28,,1,3,2,Neutral,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),250.49,218.0,bullish,238.08,R 38.2%,230.41,R 61.8%,250.49,E 100.0%,259.33,E 127.2%,270.57,E 161.8%,1.62,2.77,4.24,250.49,E 100.0%,,224.95,242.82,238.08,234.25,230.41,224.95,250.49,259.33,262.9,270.57,282.98,303.06
NVDA,NVIDIA Corporation,200.42,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),232.01,199.34,bullish,219.53,R 38.2%,211.82,R 61.8%,232.01,E 100.0%,240.9,E 127.2%,252.2,E 161.8%,1.62,2.77,4.24,232.01,E 100.0%,,206.33,224.3,219.53,215.67,211.82,206.33,232.01,240.9,244.49,252.2,264.68,284.87
AMZN,"Amazon.com, Inc.",238.0,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),266.63,237.45,bullish,255.48,R 38.2%,248.6,R 61.8%,266.63,E 100.0%,274.57,E 127.2%,284.66,E 161.8%,1.62,2.77,4.24,266.63,E 100.0%,,243.69,259.74,255.48,252.04,248.6,243.69,266.63,274.57,277.78,284.66,295.81,313.84
MCHP,Microchip Technology Incorporated,87.91,,1,3,2,Neutral,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),99.6,85.28,bullish,94.13,R 38.2%,90.75,R 61.8%,99.6,E 100.0%,103.5,E 127.2%,108.45,E 161.8%,1.62,2.77,4.24,99.6,E 100.0%,,88.34,96.22,94.13,92.44,90.75,88.34,99.6,103.5,105.07,108.45,113.92,122.77
MU,"Micron Technology, Inc.",891.88,,1,3,2,Neutral,251,Daily,bear,Shooting star,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),1089.29,854.35,bullish,999.54,R 38.2%,944.1,R 61.8%,1089.29,E 100.0%,1153.19,E 127.2%,1234.48,E 161.8%,1.62,2.77,4.24,1089.29,E 100.0%,,904.63,1033.84,999.54,971.82,944.1,904.63,1089.29,1153.19,1179.04,1234.48,1324.23,1469.42
AAPL,Apple Inc.,291.58,,1,3,2,Neutral,251,Daily,bull,Bullish harami,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Rejection at prior resistance,session (no premarket),317.4,287.38,bullish,305.93,R 38.2%,298.85,R 61.8%,317.4,E 100.0%,325.57,E 127.2%,335.95,E 161.8%,1.62,2.77,4.24,317.4,E 100.0%,,293.8,310.32,305.93,302.39,298.85,293.8,317.4,325.57,328.87,335.95,347.42,365.97
COST,Costco Wholesale Corporation,983.37,,1,3,2,Neutral,251,Daily,bull,Hammer,neutral,Significantly below trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bear,Bearish zone,bull,Bounce off prior support,session (no premarket),997.41,936.51,bullish,974.15,R 38.2%,959.77,R 61.8%,997.41,E 100.0%,1013.97,E 127.2%,1035.05,E 161.8%,1.62,2.77,4.24,997.41,E 100.0%,983.04,997.41,983.04,974.15,966.96,959.77,949.54,997.41,1013.97,1020.67,1035.05,1058.31,1095.95
PCAR,PACCAR Inc,113.99,-4.76,1,3,2,Neutral,251,Daily,bear,Bearish engulfing,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),120.95,106.77,bullish,115.53,R 38.2%,112.19,R 61.8%,120.95,E 100.0%,124.8,E 127.2%,129.71,E 161.8%,1.62,2.78,4.25,120.95,E 100.0%,113.86,115.53,117.6,115.53,113.86,112.19,109.8,120.95,124.8,126.36,129.71,135.12,143.88
FER,Ferrovial SE,64.3,,0,3,3,Neutral,251,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session (no premarket),67.67,64.11,neutral,65.89,R 50.0%,64.87,R 78.6%,66.83,R 23.6%,67.67,E 100.0%,68.64,E 127.2%,0.92,1.75,2.7,65.89,R 50.0%,,64.87,66.83,66.31,65.89,65.47,64.87,67.67,68.64,69.03,69.87,71.23,73.44
