ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,sig_7,sig_7_label,sig_8,sig_8_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
PKG,Packaging Corporation of America,224.4,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.1% 10-bar),neutral,Intraday only,session,227.89,214.18,bullish,222.65,R 38.2%,219.42,R 61.8%,227.89,E 100.0%,231.62,E 127.2%,236.36,E 161.8%,1.62,2.78,4.24,227.89,E 100.0%,222.65,224.65,224.65,222.65,221.03,219.42,217.11,227.89,231.62,233.13,236.36,241.6,250.07
STZ,"Constellation Brands, Inc.",143.12,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.9% 10-bar),neutral,Intraday only,session,144.25,135.11,bullish,140.76,R 38.2%,138.6,R 61.8%,144.25,E 100.0%,146.74,E 127.2%,149.9,E 161.8%,1.62,2.77,4.23,144.25,E 100.0%,142.09,144.25,142.09,140.76,139.68,138.6,137.07,144.25,146.74,147.74,149.9,153.39,159.04
TER,"Teradyne, Inc.",381.4,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,8 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,420.6,340.34,bullish,389.94,R 38.2%,371.0,R 61.8%,420.6,E 100.0%,442.43,E 127.2%,470.2,E 161.8%,1.62,2.77,4.24,420.6,E 100.0%,380.47,389.94,401.66,389.94,380.47,371.0,357.52,420.6,442.43,451.26,470.2,500.86,550.46
UPS,"United Parcel Service, Inc.",108.65,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+4.1% 10-bar),neutral,Intraday only,session,111.22,102.83,bullish,108.02,R 38.2%,106.03,R 61.8%,111.22,E 100.0%,113.5,E 127.2%,116.41,E 161.8%,1.61,2.75,4.22,111.22,E 100.0%,108.02,109.24,109.24,108.02,107.03,106.03,104.63,111.22,113.5,114.42,116.41,119.61,124.8
ARM,Arm Holdings plc American Depositary Shares,342.23,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,4 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,427.99,298.38,bullish,378.48,R 38.2%,347.89,R 61.8%,427.99,E 100.0%,463.24,E 127.2%,508.09,E 161.8%,1.62,2.77,4.24,427.99,E 100.0%,326.12,347.89,397.4,378.48,363.18,347.89,326.12,427.99,463.24,477.5,508.09,557.6,637.7
CSCO,"Cisco Systems, Inc.",121.83,,6,6,0,Strong bullish,251,Daily,bull,Bullish engulfing,neutral,In line with trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,130.37,116.5,bullish,125.07,R 38.2%,121.8,R 61.8%,130.37,E 100.0%,134.14,E 127.2%,138.94,E 161.8%,1.62,2.77,4.24,130.37,E 100.0%,121.8,123.43,127.1,125.07,123.43,121.8,119.47,130.37,134.14,135.67,138.94,144.24,152.81
DDOG,"Datadog, Inc.",234.24,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,274.98,219.08,bullish,253.63,R 38.2%,240.43,R 61.8%,274.98,E 100.0%,290.18,E 127.2%,309.53,E 161.8%,1.62,2.77,4.23,274.98,E 100.0%,231.04,240.43,261.79,253.63,247.03,240.43,231.04,274.98,290.18,296.33,309.53,330.88,365.43
DELL,Dell Technologies Inc.,391.45,,6,6,0,Strong bullish,251,Daily,bull,Bullish engulfing,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,4 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,469.19,357.07,bullish,426.36,R 38.2%,399.9,R 61.8%,469.19,E 100.0%,499.69,E 127.2%,538.48,E 161.8%,1.62,2.77,4.24,469.19,E 100.0%,381.06,399.9,442.73,426.36,413.13,399.9,381.06,469.19,499.69,512.02,538.48,581.31,650.6
DOV,Dover Corporation,218.53,,6,7,1,Strong bullish,251,Daily,bull,Bullish harami,bull,Above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+5.3% 10-bar),neutral,Intraday only,session,223.39,208.58,bullish,217.73,R 38.2%,214.24,R 61.8%,223.39,E 100.0%,227.42,E 127.2%,232.54,E 161.8%,1.62,2.78,4.24,223.39,E 100.0%,217.73,219.89,219.89,217.73,215.99,214.24,211.75,223.39,227.42,229.05,232.54,238.2,247.35
EMR,Emerson Electric Co.,142.09,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.4% 10-bar),neutral,Intraday only,session,144.23,136.42,bullish,141.25,R 38.2%,139.4,R 61.8%,144.23,E 100.0%,146.35,E 127.2%,149.06,E 161.8%,1.61,2.76,4.22,144.23,E 100.0%,141.25,142.39,142.39,141.25,140.33,139.4,138.09,144.23,146.35,147.21,149.06,152.04,156.87
FCX,Freeport-McMoRan Inc.,66.34,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,72.09,61.73,bullish,68.13,R 38.2%,65.69,R 61.8%,72.09,E 100.0%,74.91,E 127.2%,78.49,E 161.8%,1.62,2.78,4.25,72.09,E 100.0%,65.69,66.91,69.65,68.13,66.91,65.69,63.95,72.09,74.91,76.05,78.49,82.45,88.85
FDX,FedEx Corporation,338.0,,6,7,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,Overbought · Wide divergence,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.2% 10-bar),neutral,Intraday only,multi-day swing (20b),341.14,290.98,bullish,321.98,R 38.2%,310.14,R 61.8%,341.14,E 100.0%,354.78,E 127.2%,372.14,E 161.8%,1.62,2.77,4.24,341.14,E 100.0%,329.3,341.14,329.3,321.98,316.06,310.14,301.72,341.14,354.78,360.3,372.14,391.3,422.29
FFIV,"F5, Inc.",393.84,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,411.52,381.93,bullish,400.22,R 38.2%,393.23,R 61.8%,411.52,E 100.0%,419.57,E 127.2%,429.81,E 161.8%,1.62,2.77,4.23,411.52,E 100.0%,393.23,396.72,404.54,400.22,396.72,393.23,388.26,411.52,419.57,422.82,429.81,441.11,459.4
FTNT,"Fortinet, Inc.",145.06,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,150.07,133.05,bullish,143.57,R 38.2%,139.55,R 61.8%,150.07,E 100.0%,154.7,E 127.2%,160.59,E 161.8%,1.62,2.77,4.23,150.07,E 100.0%,143.57,146.05,146.05,143.57,141.56,139.55,136.69,150.07,154.7,156.57,160.59,167.09,177.61
IFF,International Flavors & Fragrances Inc.,77.51,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,77.73,72.21,bullish,75.62,R 38.2%,74.32,R 61.8%,77.73,E 100.0%,79.23,E 127.2%,81.14,E 161.8%,1.62,2.78,4.25,77.73,E 100.0%,76.43,77.73,76.43,75.62,74.97,74.32,73.39,77.73,79.23,79.84,81.14,83.25,86.66
JCI,Johnson Controls International plc,144.01,,6,6,0,Strong bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,149.1,136.54,bullish,144.3,R 38.2%,141.34,R 61.8%,149.1,E 100.0%,152.52,E 127.2%,156.86,E 161.8%,1.62,2.78,4.24,149.1,E 100.0%,142.82,144.3,146.14,144.3,142.82,141.34,139.23,149.1,152.52,153.9,156.86,161.66,169.42
MRNA,"Moderna, Inc.",49.64,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,51.9,43.9,bullish,48.84,R 38.2%,46.96,R 61.8%,51.9,E 100.0%,54.08,E 127.2%,56.84,E 161.8%,1.63,2.79,4.26,51.9,E 100.0%,48.84,50.01,50.01,48.84,47.9,46.96,45.61,51.9,54.08,54.96,56.84,59.9,64.84
MRVL,"Marvell Technology, Inc.",280.71,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,9 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,324.2,244.0,bullish,293.56,R 38.2%,274.64,R 61.8%,324.2,E 100.0%,346.01,E 127.2%,373.76,E 161.8%,1.62,2.77,4.24,324.2,E 100.0%,274.64,284.1,305.27,293.56,284.1,274.64,261.16,324.2,346.01,354.84,373.76,404.4,453.96
MS,Morgan Stanley,212.66,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,5 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,219.16,205.83,bullish,214.07,R 38.2%,210.92,R 61.8%,219.16,E 100.0%,222.79,E 127.2%,227.4,E 161.8%,1.62,2.77,4.23,219.16,E 100.0%,212.5,214.07,216.01,214.07,212.5,210.92,208.68,219.16,222.79,224.25,227.4,232.49,240.73
MU,"Micron Technology, Inc.",995.87,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+10.1% 10-bar),neutral,Intraday only,session,1089.29,854.35,bullish,999.54,R 38.2%,944.1,R 61.8%,1089.29,E 100.0%,1153.19,E 127.2%,1234.48,E 161.8%,1.62,2.77,4.24,1089.29,E 100.0%,971.82,999.54,1033.84,999.54,971.82,944.1,904.63,1089.29,1153.19,1179.04,1234.48,1324.23,1469.42
NTRS,Northern Trust Corporation,170.75,,6,7,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone,bear,Rejection at prior resistance,bull,Outperforming SPY strongly (+4.1% 10-bar),neutral,Intraday only,session,172.97,165.5,bullish,170.12,R 38.2%,168.35,R 61.8%,172.97,E 100.0%,175.0,E 127.2%,177.59,E 161.8%,1.61,2.76,4.22,172.97,E 100.0%,170.12,171.21,171.21,170.12,169.24,168.35,167.1,172.97,175.0,175.82,177.59,180.44,185.05
SRE,Sempra,91.54,,6,6,0,Strong bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.9% 10-bar),neutral,Intraday only,session,92.68,87.66,bullish,90.76,R 38.2%,89.58,R 61.8%,92.68,E 100.0%,94.04,E 127.2%,95.78,E 161.8%,1.63,2.78,4.25,92.68,E 100.0%,91.49,92.68,91.49,90.76,90.17,89.58,88.73,92.68,94.04,94.6,95.78,97.7,100.8
STX,Seagate Technology Holdings plc,868.09,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,9 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,966.8,801.89,bullish,903.8,R 38.2%,864.89,R 61.8%,966.8,E 100.0%,1011.66,E 127.2%,1068.71,E 161.8%,1.62,2.77,4.24,966.8,E 100.0%,864.89,884.35,927.88,903.8,884.35,864.89,837.18,966.8,1011.66,1029.8,1068.71,1131.71,1233.62
SYF,Synchrony Financial,72.33,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.4% 10-bar),neutral,Intraday only,session,73.31,68.36,bullish,71.42,R 38.2%,70.25,R 61.8%,73.31,E 100.0%,74.66,E 127.2%,76.37,E 161.8%,1.62,2.77,4.23,73.31,E 100.0%,72.14,73.31,72.14,71.42,70.83,70.25,69.42,73.31,74.66,75.2,76.37,78.26,81.32
TDY,Teledyne Technologies Incorporated,623.73,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,neutral,In line with market,neutral,Intraday only,session,629.94,599.84,bullish,618.44,R 38.2%,611.34,R 61.8%,629.94,E 100.0%,638.13,E 127.2%,648.54,E 161.8%,1.62,2.77,4.24,629.94,E 100.0%,622.84,629.94,622.84,618.44,614.89,611.34,606.28,629.94,638.13,641.44,648.54,660.04,678.64
UAL,"United Airlines Holdings, Inc.",112.61,,6,6,0,Strong bullish,251,Daily,bull,Bullish engulfing,bull,Above trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,multi-day swing (20b),117.96,88.34,bullish,106.65,R 38.2%,99.65,R 61.8%,117.96,E 100.0%,126.02,E 127.2%,136.27,E 161.8%,1.62,2.77,4.23,117.96,E 100.0%,110.97,117.96,110.97,106.65,103.15,99.65,94.68,117.96,126.02,129.27,136.27,147.58,165.89
URI,"United Rentals, Inc.",1068.49,,6,7,1,Strong bullish,251,Daily,bull,Bullish harami,bull,Above trend,bull,Wide divergence above SMA,bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+10.3% 10-bar),neutral,Intraday only,session,1106.88,993.48,bullish,1063.56,R 38.2%,1036.8,R 61.8%,1106.88,E 100.0%,1137.72,E 127.2%,1176.96,E 161.8%,1.62,2.77,4.24,1106.88,E 100.0%,1063.56,1080.12,1080.12,1063.56,1050.18,1036.8,1017.75,1106.88,1137.72,1150.2,1176.96,1220.28,1290.36
VRTX,Vertex Pharmaceuticals Incorporated,445.04,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,session,453.16,420.01,bullish,440.5,R 38.2%,432.67,R 61.8%,453.16,E 100.0%,462.18,E 127.2%,473.65,E 161.8%,1.62,2.77,4.23,453.16,E 100.0%,440.5,445.34,445.34,440.5,436.59,432.67,427.1,453.16,462.18,465.82,473.65,486.31,506.8
VTRS,Viatris Inc.,16.31,,6,7,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.5% 10-bar),neutral,Intraday only,session,16.41,15.5,bullish,16.06,R 38.2%,15.85,R 61.8%,16.41,E 100.0%,16.66,E 127.2%,16.97,E 161.8%,1.67,2.86,4.33,16.41,E 100.0%,16.2,16.41,16.2,16.06,15.95,15.85,15.69,16.41,16.66,16.76,16.97,17.32,17.88
WAB,Westinghouse Air Brake Technologies Corporation,262.09,,6,6,0,Strong bullish,251,Daily,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.6% 10-bar),neutral,Intraday only,session,268.02,254.44,bullish,262.83,R 38.2%,259.63,R 61.8%,268.02,E 100.0%,271.71,E 127.2%,276.41,E 161.8%,1.62,2.78,4.24,268.02,E 100.0%,261.23,262.83,264.82,262.83,261.23,259.63,257.35,268.02,271.71,273.21,276.41,281.6,289.99
AEP,"American Electric Power Company, Inc.",128.48,,5,6,1,Strong bullish,251,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support,bull,Outperforming SPY moderately (+2.8% 10-bar),neutral,Intraday only,session,130.22,124.0,bullish,127.84,R 38.2%,126.38,R 61.8%,130.22,E 100.0%,131.91,E 127.2%,134.06,E 161.8%,1.63,2.79,4.26,130.22,E 100.0%,127.84,128.75,128.75,127.84,127.11,126.38,125.33,130.22,131.91,132.6,134.06,136.44,140.28
AMD,"Advanced Micro Devices, Inc.",488.45,,5,6,1,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,7 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bear,Underperforming SPY strongly (-3.5% 10-bar),neutral,Intraday only,session,546.44,437.23,bullish,504.72,R 38.2%,478.95,R 61.8%,546.44,E 100.0%,576.15,E 127.2%,613.93,E 161.8%,1.62,2.77,4.24,546.44,E 100.0%,478.95,491.84,520.67,504.72,491.84,478.95,460.6,546.44,576.15,588.16,613.93,655.65,723.14
